id,name,alias,category,lead,rpm_repo,rpm_pkg,rpm_pg,deb_repo,deb_pkg,deb_pg
1000,timescaledb,timescaledb,TIME,t,TIMESCALE,timescaledb-2-postgresql-$v*,"{17,16,15,14,13,12}",TIMESCALE,timescaledb-2-postgresql-$v,"{17,16,15,14,13,12}"
1010,timescaledb_toolkit,timescaledb_toolkit,TIME,t,TIMESCALE,timescaledb-toolkit-postgresql-$v,"{16,15,14,13,12}",TIMESCALE,timescaledb-toolkit-postgresql-$v,"{16,15,14,13,12}"
1020,timeseries,pg_timeseries,TIME,t,PIGSTY,pg_timeseries_$v,"{16,15,14,13}",PIGSTY,postgresql-$v-pg-timeseries,"{16,15,14,13,12}"
1030,periods,periods,TIME,t,PGDG,periods_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-periods,"{17,16,15,14,13,12}"
1040,temporal_tables,temporal_tables,TIME,t,PIGSTY,temporal_tables_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-temporal-tables,"{17,16,15,14,13,12}"
1050,emaj,emaj,TIME,t,PGDG,e-maj_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-emaj,"{17,16,15,14,13,12}"
1060,table_version,table_version,TIME,t,PIGSTY,table_version_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-tableversion,"{17,16,15,14,13,12}"
1070,pg_cron,pg_cron,TIME,t,PGDG,pg_cron_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-cron,"{17,16,15,14,13,12}"
1080,pg_later,pg_later,TIME,t,PIGSTY,pg_later_$v,"{17,16,15,14,13}",PIGSTY,postgresql-$v-pg-later,"{17,16,15,14,13}"
1090,pg_background,pg_background,TIME,t,PGDG,pg_background_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-background,"{17,16,15,14,13,12}"
1100,postgis,postgis,GIS,t,PGDG,postgis35_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,"{17,16,15,14,13,12}"
1101,postgis_topology,postgis,GIS,f,PGDG,postgis35_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,"{17,16,15,14,13,12}"
1102,postgis_raster,postgis,GIS,f,PGDG,postgis35_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,"{17,16,15,14,13,12}"
